Building similarity graph from MASH distances...
Graph built with 450 nodes and 2314 edges
Found 165 connected components
Component sizes: [39, 39, 32, 17, 14, 13, 12, 11, 9, 7]
Largest component has 39 genomes
Average component size: 2.7
Component 1: 2 genomes -> selected 2 representatives
Component 2: 13 genomes -> selected 10 representatives
Component 3: 1 genomes -> selected 1 representatives
Component 4: 1 genomes -> selected 1 representatives
Component 5: 1 genomes -> selected 1 representatives
Component 6: 1 genomes -> selected 1 representatives
Component 7: 1 genomes -> selected 1 representatives
Component 8: 39 genomes -> selected 10 representatives
Component 9: 4 genomes -> selected 4 representatives
Component 10: 2 genomes -> selected 2 representatives
Component 11: 3 genomes -> selected 3 representatives
Component 12: 9 genomes -> selected 9 representatives
Component 13: 2 genomes -> selected 2 representatives
Component 14: 4 genomes -> selected 4 representatives
Component 15: 2 genomes -> selected 2 representatives
Component 16: 4 genomes -> selected 4 representatives
Component 17: 12 genomes -> selected 10 representatives
Component 18: 1 genomes -> selected 1 representatives
Component 19: 1 genomes -> selected 1 representatives
Component 20: 2 genomes -> selected 2 representatives
Component 21: 3 genomes -> selected 3 representatives
Component 22: 2 genomes -> selected 2 representatives
Component 23: 1 genomes -> selected 1 representatives
Component 24: 2 genomes -> selected 2 representatives
Component 25: 1 genomes -> selected 1 representatives
Component 26: 1 genomes -> selected 1 representatives
Component 27: 1 genomes -> selected 1 representatives
Component 28: 1 genomes -> selected 1 representatives
Component 29: 1 genomes -> selected 1 representatives
Component 30: 32 genomes -> selected 10 representatives
Component 31: 11 genomes -> selected 10 representatives
Component 32: 17 genomes -> selected 10 representatives
Component 33: 4 genomes -> selected 4 representatives
Component 34: 1 genomes -> selected 1 representatives
Component 35: 2 genomes -> selected 2 representatives
Component 36: 1 genomes -> selected 1 representatives
Component 37: 1 genomes -> selected 1 representatives
Component 38: 1 genomes -> selected 1 representatives
Component 39: 1 genomes -> selected 1 representatives
Component 40: 4 genomes -> selected 4 representatives
Component 41: 3 genomes -> selected 3 representatives
Component 42: 2 genomes -> selected 2 representatives
Component 43: 39 genomes -> selected 10 representatives
Component 44: 1 genomes -> selected 1 representatives
Component 45: 2 genomes -> selected 2 representatives
Component 46: 14 genomes -> selected 10 representatives
Component 47: 2 genomes -> selected 2 representatives
Component 48: 1 genomes -> selected 1 representatives
Component 49: 3 genomes -> selected 3 representatives
Component 50: 1 genomes -> selected 1 representatives
Component 51: 7 genomes -> selected 7 representatives
Component 52: 3 genomes -> selected 3 representatives
Component 53: 2 genomes -> selected 2 representatives
Component 54: 1 genomes -> selected 1 representatives
Component 55: 1 genomes -> selected 1 representatives
Component 56: 4 genomes -> selected 4 representatives
Component 57: 1 genomes -> selected 1 representatives
Component 58: 1 genomes -> selected 1 representatives
Component 59: 2 genomes -> selected 2 representatives
Component 60: 3 genomes -> selected 3 representatives
Component 61: 4 genomes -> selected 4 representatives
Component 62: 2 genomes -> selected 2 representatives
Component 63: 3 genomes -> selected 3 representatives
Component 64: 1 genomes -> selected 1 representatives
Component 65: 2 genomes -> selected 2 representatives
Component 66: 7 genomes -> selected 7 representatives
Component 67: 4 genomes -> selected 4 representatives
Component 68: 1 genomes -> selected 1 representatives
Component 69: 1 genomes -> selected 1 representatives
Component 70: 1 genomes -> selected 1 representatives
Component 71: 1 genomes -> selected 1 representatives
Component 72: 1 genomes -> selected 1 representatives
Component 73: 1 genomes -> selected 1 representatives
Component 74: 1 genomes -> selected 1 representatives
Component 75: 1 genomes -> selected 1 representatives
Component 76: 1 genomes -> selected 1 representatives
Component 77: 1 genomes -> selected 1 representatives
Component 78: 4 genomes -> selected 4 representatives
Component 79: 2 genomes -> selected 2 representatives
Component 80: 2 genomes -> selected 2 representatives
Component 81: 1 genomes -> selected 1 representatives
Component 82: 5 genomes -> selected 5 representatives
Component 83: 5 genomes -> selected 5 representatives
Component 84: 3 genomes -> selected 3 representatives
Component 85: 1 genomes -> selected 1 representatives
Component 86: 1 genomes -> selected 1 representatives
Component 87: 1 genomes -> selected 1 representatives
Component 88: 1 genomes -> selected 1 representatives
Component 89: 1 genomes -> selected 1 representatives
Component 90: 1 genomes -> selected 1 representatives
Component 91: 1 genomes -> selected 1 representatives
Component 92: 4 genomes -> selected 4 representatives
Component 93: 2 genomes -> selected 2 representatives
Component 94: 1 genomes -> selected 1 representatives
Component 95: 3 genomes -> selected 3 representatives
Component 96: 1 genomes -> selected 1 representatives
Component 97: 1 genomes -> selected 1 representatives
Component 98: 1 genomes -> selected 1 representatives
Component 99: 1 genomes -> selected 1 representatives
Component 100: 1 genomes -> selected 1 representatives
Component 101: 1 genomes -> selected 1 representatives
Component 102: 1 genomes -> selected 1 representatives
Component 103: 2 genomes -> selected 2 representatives
Component 104: 3 genomes -> selected 3 representatives
Component 105: 1 genomes -> selected 1 representatives
Component 106: 1 genomes -> selected 1 representatives
Component 107: 1 genomes -> selected 1 representatives
Component 108: 1 genomes -> selected 1 representatives
Component 109: 1 genomes -> selected 1 representatives
Component 110: 2 genomes -> selected 2 representatives
Component 111: 1 genomes -> selected 1 representatives
Component 112: 1 genomes -> selected 1 representatives
Component 113: 1 genomes -> selected 1 representatives
Component 114: 2 genomes -> selected 2 representatives
Component 115: 1 genomes -> selected 1 representatives
Component 116: 1 genomes -> selected 1 representatives
Component 117: 1 genomes -> selected 1 representatives
Component 118: 1 genomes -> selected 1 representatives
Component 119: 2 genomes -> selected 2 representatives
Component 120: 3 genomes -> selected 3 representatives
Component 121: 3 genomes -> selected 3 representatives
Component 122: 1 genomes -> selected 1 representatives
Component 123: 1 genomes -> selected 1 representatives
Component 124: 2 genomes -> selected 2 representatives
Component 125: 1 genomes -> selected 1 representatives
Component 126: 2 genomes -> selected 2 representatives
Component 127: 1 genomes -> selected 1 representatives
Component 128: 1 genomes -> selected 1 representatives
Component 129: 3 genomes -> selected 3 representatives
Component 130: 1 genomes -> selected 1 representatives
Component 131: 1 genomes -> selected 1 representatives
Component 132: 3 genomes -> selected 3 representatives
Component 133: 2 genomes -> selected 2 representatives
Component 134: 1 genomes -> selected 1 representatives
Component 135: 1 genomes -> selected 1 representatives
Component 136: 2 genomes -> selected 2 representatives
Component 137: 2 genomes -> selected 2 representatives
Component 138: 1 genomes -> selected 1 representatives
Component 139: 1 genomes -> selected 1 representatives
Component 140: 1 genomes -> selected 1 representatives
Component 141: 1 genomes -> selected 1 representatives
Component 142: 1 genomes -> selected 1 representatives
Component 143: 1 genomes -> selected 1 representatives
Component 144: 1 genomes -> selected 1 representatives
Component 145: 1 genomes -> selected 1 representatives
Component 146: 1 genomes -> selected 1 representatives
Component 147: 2 genomes -> selected 2 representatives
Component 148: 2 genomes -> selected 2 representatives
Component 149: 1 genomes -> selected 1 representatives
Component 150: 2 genomes -> selected 2 representatives
Component 151: 1 genomes -> selected 1 representatives
Component 152: 1 genomes -> selected 1 representatives
Component 153: 1 genomes -> selected 1 representatives
Component 154: 1 genomes -> selected 1 representatives
Component 155: 1 genomes -> selected 1 representatives
Component 156: 1 genomes -> selected 1 representatives
Component 157: 1 genomes -> selected 1 representatives
Component 158: 1 genomes -> selected 1 representatives
Component 159: 1 genomes -> selected 1 representatives
Component 160: 1 genomes -> selected 1 representatives
Component 161: 1 genomes -> selected 1 representatives
Component 162: 1 genomes -> selected 1 representatives
Component 163: 1 genomes -> selected 1 representatives
Component 164: 1 genomes -> selected 1 representatives
Component 165: 1 genomes -> selected 1 representatives
Total genomes selected for PopPUNK modeling: 353
