Taxon,Cluster
GCA_963569645_1,1
IP-0100-8_S1_L001-SPAdes,1
GCA_963562795_1,1
IE-0015_S9_L001-SPAdes,1
IP-0012-5_S3_L001-SPAdes,1
GCA_963561245_1,1
Burkholderia_pseudomallei_40S_S61_GCF_014713055_1_Laos,1
IP-0123-0_S3_L001-SPAdes,1
IP-0041-4_S1_L001-SPAdes,1
IP-0141-2_S1_L001-SPAdes,1
GCA_963561895_1,1
IE-0026_S8-SPAdes,1
IP-0183-4_S8-SPAdes,1
IP-0122-2_S2_L001-SPAdes,1
ERS012332,1
Burkholderia_pseudomallei_52W_S71_GCF_014712835_1_Laos,1
GCA_963563305_1,1
Burkholderia_pseudomallei_619s006_GCF_001212705_2_Malaysia,1
IP-0016-6_S7_L001-SPAdes,1
IE-0006_S11_L001-SPAdes,1
IE-0018_S12_L001-SPAdes,1
GCA_963565015_1,1
GCA_963566765_1,1
GCA_963569365_1,1
Burkholderia_pseudomallei_43S_S63_GCF_014713085_1_Laos,1
IP-0146-1_S6_L001-SPAdes,1
IE-0016_S10_L001-SPAdes,1
IP-0155-2_S5_L001-SPAdes,1
IP-0050-5_S10_L001-SPAdes,1
ERS008816,1
IP-0035-6_S5_L001-SPAdes,1
Burkholderia_pseudomallei_4822_GCF_009826725_1_Viet_Nam,1
ERS012317,1
IP-0119-8_S10_L001-SPAdes,1
IP-0057-0_S2_L001-SPAdes,1
GCA_963561975_1,1
GCA_963560585_1,1
IP-0139-6_S9_L001-SPAdes,1
ERS008798,1
ERS008781,1
ERS008794,1
Burkholderia_pseudomallei_44W_S64_GCF_014713025_1_Laos,1
IP-0094-3_S6_L001-SPAdes,1
IP-0120-6_S11_L001-SPAdes,1
GCA_963564375_1,1
Burkholderia_pseudomallei_58W_S73_GCF_014712875_1_Laos,1
IE-0007_S1_L001-SPAdes,1
IE-0005_S10_L001-SPAdes,1
GCA_963571975_1,1
IP-0163-6_S2-SPAdes,1
IP-0129-7_S9_L001-SPAdes,1
ERS008795,1
GCA_963561435_1,1
IP-0037-2_S7_L001-SPAdes,1
IP-0042-2_S2_L001-SPAdes,1
Burkholderia_pseudomallei_91W_S76_GCF_014712775_1_Laos,1
IP-0189-1_S4-SPAdes,1
ERS012330,1
IP-0108-1_S8_L001-SPAdes,1
IE-0009_S3_L001-SPAdes,1
IE-0014_S8_L001-SPAdes,1
ERS013354,1
Burkholderia_pseudomallei_316a_GCF_001980725_1_Thailand,1
IP-0196-6_S1-SPAdes,1
IP-0191-7_S6-SPAdes,1
GCA_963568785_1,1
ERS008825,1
ERS013353,1
IP-0154-5_S4_L001-SPAdes,1
IP-0097-6_S9_L001-SPAdes,1
Burkholderia_pseudomallei_134K_GCF_009830075_1_Thailand,1
IP-0197-4_S2-SPAdes,1
GCA_963561735_1,1
ERS008841,1
GCA_963566855_1,1
Burkholderia_pseudomallei_ABCPW_107_GCF_000773235_1_Australia,1
IP-0032-3_S2_L001-SPAdes,1
GCA_963560945_1,1
IP-0111-5_S2_L001-SPAdes,1
Burkholderia_pseudomallei_619s005_GCF_001207785_2_Malaysia,1
GCA_963573135_1,1
IP-0079-4_S2_L001-SPAdes,1
GCA_963565675_1,1
IP-0173-5_S8-SPAdes,1
IP-0073-7_S7_L001-SPAdes,1
IP-0076-0_S10_L001-SPAdes,1
ERS013364,1
GCA_963573225_1,1
IP-0168-5_S3-SPAdes,1
IP-0019-0_S10_L001-SPAdes,1
IP-0149-5_S9_L001-SPAdes,1
IP-0007-5_S7_L001-SPAdes,1
IP-0142-0_S2_L001-SPAdes,1
GCA_900597175_2,1
GCA_963568005_1,1
Burkholderia_pseudomallei_45S_S65_GCF_014713015_1_Laos,1
IP-0017-4_S8_L001-SPAdes,1
GCA_963562655_1,1
ERS013352,1
IP-0052-1_S2_L001-SPAdes,1
ERS012309,1
GCA_963565565_1,1
ERS008797,1
IP-0023-2_S3_L001-SPAdes,1
GCA_963566495_1,1
IP-0186-7_S1-SPAdes,1
GCA_963572615_1,1
IP-0080-2_S3_L001-SPAdes,1
IP-0124-8_S4_L001-SPAdes,1
IP-0132-1_S2_L001-SPAdes,1
GCA_963561915_1,1
IP-0150-3_S10_L001-SPAdes,1
IP-0077-8_S11_L001-SPAdes,1
IP-0153-7_S3_L001-SPAdes,1
Burkholderia_pseudomallei_402a_GCF_001980775_1_Thailand,1
ERS008820,1
GCA_963564975_1,1
GCA_963561215_1,1
IP-0170-1_S5-SPAdes,1
IP-0058-8_S3_L001-SPAdes,1
GCA_963562325_1,1
IP-0178-4_S3-SPAdes,1
IP-0167-7_S2-SPAdes,1
ERS012377,1
GCA_963569685_1,1
IP-0202-2_S7-SPAdes,1
IP-0201-4_S6-SPAdes,1
IP-0003-4_S3_L001-SPAdes,1
ERS008803,1
SRR12527885_contigs,1
ERS012327,1
IP-0033-1_S3_L001-SPAdes,1
IP-0054-7_S4_L001-SPAdes,1
GCA_963571905_1,1
ERS008828,1
