Taxon,Cluster_name
IP-0077-8_S11_L001-SPAdes,mamoku
Burkholderia_pseudomallei_619s008_GCF_001326955_2_Malaysia,mamoku
IP-0099-2_S11_L001-SPAdes,mamoku
ERS012331,mamoku
ERS012347,mamoku
ERS012320,mamoku
IE-0012_S6_L001-SPAdes,mamoku
ERS012351,mamoku
IP-0039-8_S9_L001-SPAdes,mamoku
GCA_963573175_1,mamoku
ERS012363,mamoku
IP-0066-1_S11_L001-SPAdes,sevfecu
ERS012338,sevfecu
Burkholderia_pseudomallei_1701_GCF_003268105_1_Viet_Nam,sevfecu
IP-0177-6_S2-SPAdes,sevfecu
IP-0154-5_S4_L001-SPAdes,sevfecu
GCA_963570975_1,sevfecu
IP-0163-6_S2-SPAdes,sevfecu
GCA_963561765_1,sevfecu
IP-0062-0_S7_L001-SPAdes,sevfecu
IE-0013_S7_L001-SPAdes,sevfecu
GCA_963565015_1,pavzahu
IP-0004-2_S4_L001-SPAdes,pavzahu
IP-0169-3_S4-SPAdes,pavzahu
IP-0155-2_S5_L001-SPAdes,pavzahu
GCA_963562695_1,pavzahu
IP-0128-9_S8_L001-SPAdes,pavzahu
ERS008819,bejcai
ERS008837,bejcai
ERS008841,bejcai
ERS008792,bejcai
GCA_963569685_1,cece
IP-0188-3_S3-SPAdes,cece
IP-0126-3_S6_L001-SPAdes,gekanag
GCA_963566455_1,gekanag
Burkholderia_pseudomallei_577ci_GCF_001980815_1_Thailand,tobnage
Burkholderia_pseudomallei_406e_GCF_000410895_1_Thailand,tobnage
IP-0189-1_S4-SPAdes,vapea
IP-0176-8_S1-SPAdes,aora
IP-0100-8_S1_L001-SPAdes,dehu
IP-0098-4_S10_L001-SPAdes,ruzikme
GCA_963561895_1,diridod
GCA_963560915_1,pue
Burkholderia_pseudomallei_8400_GCF_025847635_1_Viet_Nam,kamip
Burkholderia_pseudomallei_46W_S66_GCF_014712945_1_Laos,amobu
