Taxon,Cluster
IP-0052-1_S2_L001-SPAdes,1
Burkholderia_pseudomallei_4802_GCF_003268115_1_Viet_Nam,1
IP-0045-5_S5_L001-SPAdes,1
IP-0062-0_S7_L001-SPAdes,1
IP-0154-5_S4_L001-SPAdes,1
IP-0157-8_S7_L001-SPAdes,1
IE-0018_S12_L001-SPAdes,1
IP-0179-2_S4-SPAdes,1
IP-0152-9_S2_L001-SPAdes,1
IP-0024-0_S4_L001-SPAdes,2
IE-0011_S5_L001-SPAdes,2
IP-0155-2_S5_L001-SPAdes,2
IP-0146-1_S6_L001-SPAdes,2
IP-0004-2_S4_L001-SPAdes,2
GCA_963561735_1,2
IP-0064-6_S9_L001-SPAdes,2
GCA_963568005_1,2
IP-0097-6_S9_L001-SPAdes,3
IP-0039-8_S9_L001-SPAdes,3
IP-0077-8_S11_L001-SPAdes,3
GCA_963571365_1,3
IE-0012_S6_L001-SPAdes,3
ERS012331,3
ERS012317,4
ERS012308,4
ERS012324,4
ERS012327,4
ERS008824,5
ERS008825,5
ERS008822,5
IP-0149-5_S9_L001-SPAdes,6
IP-0100-8_S1_L001-SPAdes,6
IP-0028-1_S8_L001-SPAdes,7
IP-0025-7_S5_L001-SPAdes,7
IP-0032-3_S2_L001-SPAdes,8
IP-0013-3_S4_L001-SPAdes,8
GCA_963566455_1,9
Burkholderia_pseudomallei_64W_S75_GCF_014712815_1_Laos,9
IP-0017-4_S8_L001-SPAdes,10
IE-0021_S7-SPAdes,11
IE-0009_S3_L001-SPAdes,12
GCA_963568055_1,13
GCA_963561895_1,14
GCA_963561565_1,15
Burkholderia_pseudomallei_46W_S66_GCF_014712945_1_Laos,16
