Taxon,Cluster_name
IP-0052-1_S2_L001-SPAdes,faradnaw
Burkholderia_pseudomallei_4802_GCF_003268115_1_Viet_Nam,faradnaw
IP-0045-5_S5_L001-SPAdes,faradnaw
IP-0062-0_S7_L001-SPAdes,faradnaw
IP-0154-5_S4_L001-SPAdes,faradnaw
IP-0157-8_S7_L001-SPAdes,faradnaw
IE-0018_S12_L001-SPAdes,faradnaw
IP-0179-2_S4-SPAdes,faradnaw
IP-0152-9_S2_L001-SPAdes,faradnaw
IP-0024-0_S4_L001-SPAdes,jafeu
IE-0011_S5_L001-SPAdes,jafeu
IP-0155-2_S5_L001-SPAdes,jafeu
IP-0146-1_S6_L001-SPAdes,jafeu
IP-0004-2_S4_L001-SPAdes,jafeu
GCA_963561735_1,jafeu
IP-0064-6_S9_L001-SPAdes,jafeu
GCA_963568005_1,jafeu
IP-0097-6_S9_L001-SPAdes,kiwben
IP-0039-8_S9_L001-SPAdes,kiwben
IP-0077-8_S11_L001-SPAdes,kiwben
GCA_963571365_1,kiwben
IE-0012_S6_L001-SPAdes,kiwben
ERS012331,kiwben
ERS012317,cevkap
ERS012308,cevkap
ERS012324,cevkap
ERS012327,cevkap
ERS008824,idij
ERS008825,idij
ERS008822,idij
IP-0149-5_S9_L001-SPAdes,cisoe
IP-0100-8_S1_L001-SPAdes,cisoe
IP-0028-1_S8_L001-SPAdes,vilet
IP-0025-7_S5_L001-SPAdes,vilet
IP-0032-3_S2_L001-SPAdes,gibcula
IP-0013-3_S4_L001-SPAdes,gibcula
GCA_963566455_1,lijsin
Burkholderia_pseudomallei_64W_S75_GCF_014712815_1_Laos,lijsin
IP-0017-4_S8_L001-SPAdes,zopnos
IE-0021_S7-SPAdes,okewmah
IE-0009_S3_L001-SPAdes,uo
GCA_963568055_1,oweh
GCA_963561895_1,peznoli
GCA_963561565_1,eifoj
Burkholderia_pseudomallei_46W_S66_GCF_014712945_1_Laos,oimis
