Taxon,Cluster
IP-0043-0_S3_L001-SPAdes,1
Burkholderia_pseudomallei_619s006_GCF_001212705_2_Malaysia,1
GCA_963566085_1,1
IP-0187-5_S2-SPAdes,1
ERS012347,1
IE-0014_S8_L001-SPAdes,1
ERS012317,1
IP-0109-9_S9_L001-SPAdes,1
GCA_963565675_1,1
GCA_963573175_1,1
IP-0130-5_S10_L001-SPAdes,1
GCA_963566475_1,1
IE-0017_S11_L001-SPAdes,1
Burkholderia_pseudomallei_43S_S63_GCF_014713085_1_Laos,1
ERS013343,1
GCA_963568055_1,1
IP-0065-3_S10_L001-SPAdes,1
Burkholderia_pseudomallei_134K_GCF_009830075_1_Thailand,1
ERS012314,1
IP-0009-1_S9_L001-SPAdes,1
IP-0148-7_S8_L001-SPAdes,1
IP-0042-2_S2_L001-SPAdes,1
GCA_963561765_1,1
GCA_963565085_1,1
IP-0096-8_S8_L001-SPAdes,1
GCA_963567935_1,1
IP-0133-9_S3_L001-SPAdes,1
IP-0081-0_S4_L001-SPAdes,1
IP-0006-7_S6_L001-SPAdes,1
IP-0098-4_S10_L001-SPAdes,1
IE-0015_S9_L001-SPAdes,1
IP-0032-3_S2_L001-SPAdes,1
GCA_963572995_1,1
IP-0077-8_S11_L001-SPAdes,1
GCA_963568705_1,1
IP-0172-7_S7-SPAdes,1
ERS008837,1
GCA_963571845_1,1
GCA_963563155_1,1
IP-0200-6_S5-SPAdes,1
GCA_963565565_1,1
IE-0009_S3_L001-SPAdes,1
ERS012308,1
GCA_963560915_1,1
IP-0078-6_S1_L001-SPAdes,1
IP-0117-2_S8_L001-SPAdes,1
GCA_963564785_1,1
ERS008813,1
Burkholderia_pseudomallei_51W_S70_GCF_014712915_1_Laos,1
ERS008794,1
IP-0165-1_S4-SPAdes,1
IP-0178-4_S3-SPAdes,1
ERS008790,1
IP-0147-9_S7_L001-SPAdes,1
GCA_963569645_1,1
ERS012351,1
IP-0199-0_S4-SPAdes,1
IE-0019_S5-SPAdes,1
Burkholderia_pseudomallei_58W_S73_GCF_014712875_1_Laos,1
IE-0006_S11_L001-SPAdes,1
IP-0082-8_S5_L001-SPAdes,1
ERS012307,1
ERS012306,1
IP-0039-8_S9_L001-SPAdes,1
IP-0124-8_S4_L001-SPAdes,1
GCA_963561735_1,1
ERS012330,1
IP-0154-5_S4_L001-SPAdes,1
IP-0084-4_S7_L001-SPAdes,1
IP-0196-6_S1-SPAdes,1
IP-0116-4_S7_L001-SPAdes,1
ERS012363,1
IE-0016_S10_L001-SPAdes,1
IP-0052-1_S2_L001-SPAdes,1
IP-0122-2_S2_L001-SPAdes,1
ERS013355,1
IP-0076-0_S10_L001-SPAdes,1
GCA_963572755_1,1
GCA_963562325_1,1
IP-0171-9-R_S12-SPAdes,1
ERS012334,1
Burkholderia_pseudomallei_4802_GCF_003268115_1_Viet_Nam,1
GCA_963567115_1,1
GCA_963561975_1,1
IP-0166-9_S1-SPAdes,1
IE-0026_S8-SPAdes,1
GCA_963566495_1,1
IP-0137-0_S7_L001-SPAdes,1
IP-0023-2_S3_L001-SPAdes,1
IP-0087-7_S10_L001-SPAdes,1
Burkholderia_pseudomallei_576_GCF_000182195_1_Thailand,1
GCA_963571365_1,1
IP-0094-3_S6_L001-SPAdes,1
Burkholderia_pseudomallei_40S_S61_GCF_014713055_1_Laos,1
IP-0128-9_S8_L001-SPAdes,1
GCA_963563065_1,1
ERS008835,1
ERS008833,1
ERS008785,1
IP-0160-2_S10_L001-SPAdes,1
ERS008838,1
ERS012338,1
IP-0019-0_S10_L001-SPAdes,1
ERS012309,1
IP-0168-5_S3-SPAdes,1
GCA_963561355_1,1
GCA_963561925_1,1
Burkholderia_pseudomallei_49W_S68_GCF_014712965_1_Laos,1
IP-0079-4_S2_L001-SPAdes,1
Burkholderia_pseudomallei_44W_S64_GCF_014713025_1_Laos,1
IP-0149-5_S9_L001-SPAdes,1
IP-0095-0_S7_L001-SPAdes,1
IP-0011-7_S2_L001-SPAdes,1
ERS013345,1
IP-0027-3_S7_L001-SPAdes,1
IE-0001_S6_L001-SPAdes,1
GCA_963564325_1,1
IP-0046-3_S6_L001-SPAdes,1
IP-0034-9_S4_L001-SPAdes,1
GCA_963563475_1,1
GCA_963565395_1,1
IP-0155-2_S5_L001-SPAdes,1
IP-0033-1_S3_L001-SPAdes,1
IP-0177-6_S2-SPAdes,1
IP-0153-7_S3_L001-SPAdes,1
ERS012313,1
GCA_963572615_1,1
IP-0045-5_S5_L001-SPAdes,1
IP-0012-5_S3_L001-SPAdes,1
Burkholderia_pseudomallei_ABCPW_30_GCF_000774495_1_Australia,1
IP-0083-6_S6_L001-SPAdes,1
IP-0018-2_S9_L001-SPAdes,1
IP-0068-7_S2_L001-SPAdes,1
GCA_963566765_1,1
IP-0135-4_S5_L001-SPAdes,1
