Taxon,Cluster_name
GCA_963570575_1,tocbu
GCA_963566175_1,tocbu
IP-0138-8_S8_L001-SPAdes,tocbu
IP-0169-3_S4-SPAdes,tocbu
GCA_900596305_2,tocbu
GCA_963565125_1,tocbu
IP-0130-5_S10_L001-SPAdes,tocbu
GCA_963566695_1,tocbu
IE-0003_S8_L001-SPAdes,tocbu
GCA_963571005_1,tocbu
GCA_963563475_1,tocbu
IP-0057-0_S2_L001-SPAdes,tocbu
Burkholderia_pseudomallei_354a_GCF_000259815_1_Thailand,tocbu
IP-0067-9_S1_L001-SPAdes,tocbu
GCA_963566625_1,tocbu
IP-0026-5_S6_L001-SPAdes,tocbu
IP-0180-0_S5-SPAdes,jivu
GCA_963573175_1,jivu
IP-0115-6_S6_L001-SPAdes,jivu
GCA_963569785_1,jivu
IE-0012_S6_L001-SPAdes,jivu
GCA_963562615_1,jivu
ERS012362,jivu
IP-0181-8_S6-SPAdes,jivu
GCA_963569365_1,jivu
GCA_963571055_1,jivu
IP-0159-4_S9_L001-SPAdes,jivu
IP-0168-5_S3-SPAdes,jivu
IP-0162-8_S1-SPAdes,jivu
IE-0014_S8_L001-SPAdes,jivu
GCA_963563065_1,jivu
GCA_963566675_1,rigfami
Burkholderia_pseudomallei_619s006_GCF_001212705_2_Malaysia,rigfami
IP-0079-4_S2_L001-SPAdes,rigfami
GCA_963560585_1,rigfami
IP-0090-1_S2_L001-SPAdes,rigfami
IP-0120-6_S11_L001-SPAdes,rigfami
GCA_963565395_1,rigfami
IP-0178-4_S3-SPAdes,rigfami
ERS012340,rigfami
Burkholderia_pseudomallei_1701_GCF_003268105_1_Viet_Nam,rigfami
IP-0161-0_S11_L001-SPAdes,rigfami
IP-0014-1_S5_L001-SPAdes,rigfami
IP-0021-6_S1_L001-SPAdes,rigfami
IP-0082-8_S5_L001-SPAdes,jii
ERS012359,jii
ERS012351,jii
ERS012380,jii
ERS012327,jii
IP-0174-3_S9-SPAdes,jii
IP-0151-1_S1_L001-SPAdes,coplef
IP-0147-9_S7_L001-SPAdes,coplef
IP-0197-4_S2-SPAdes,coplef
IP-0101-6_S1_L001-SPAdes,coplef
IP-0193-3_S8-SPAdes,coplef
IP-0166-9_S1-SPAdes,aiku
GCA_963562235_1,aiku
Burkholderia_pseudomallei_60W_S74_GCF_014712825_1_Laos,aiku
GCA_963561895_1,aiku
GCA_963560945_1,aiku
ERS008784,wepai
ERS008821,wepai
ERS008817,wepai
ERS008785,wepai
IP-0088-5_S11_L001-SPAdes,eweh
IP-0111-5_S2_L001-SPAdes,eweh
IP-0076-0_S10_L001-SPAdes,eweh
IP-0063-8_S8_L001-SPAdes,coou
IP-0160-2_S10_L001-SPAdes,coou
IP-0025-7_S5_L001-SPAdes,coou
IP-0100-8_S1_L001-SPAdes,olis
IP-0149-5_S9_L001-SPAdes,olis
GCA_963573225_1,gajib
SRR12527885_contigs,gajib
GCA_963563715_1,uicot
IP-0017-4_S8_L001-SPAdes,uicot
IP-0016-6_S7_L001-SPAdes,furoo
Burkholderia_pseudomallei_64W_S75_GCF_014712815_1_Laos,furoo
IP-0176-8_S1-SPAdes,ojijwu
IP-0134-7_S4_L001-SPAdes,ribge
IP-0123-0_S3_L001-SPAdes,pucai
GCA_963571745_1,cuoa
GCA_963566855_1,fiu
GCA_963561565_1,hujmodu
Burkholderia_pseudomallei_BDD_GCF_000756905_1_Australia_Townsville_Queensland,teceo
Burkholderia_pseudomallei_ABCPW_91_GCF_000774405_1_Australia,ugu
Burkholderia_pseudomallei_52W_S71_GCF_014712835_1_Laos,deeu
Burkholderia_pseudomallei_45S_S65_GCF_014713015_1_Laos,runku
Burkholderia_pseudomallei_44W_S64_GCF_014713025_1_Laos,riwveffi
Burkholderia_pseudomallei_40S_S61_GCF_014713055_1_Laos,bohpu
