Taxon,Cluster
GCA_963570575_1,1
GCA_963566175_1,1
IP-0138-8_S8_L001-SPAdes,1
IP-0169-3_S4-SPAdes,1
GCA_900596305_2,1
GCA_963565125_1,1
IP-0130-5_S10_L001-SPAdes,1
GCA_963566695_1,1
IE-0003_S8_L001-SPAdes,1
GCA_963571005_1,1
GCA_963563475_1,1
IP-0057-0_S2_L001-SPAdes,1
Burkholderia_pseudomallei_354a_GCF_000259815_1_Thailand,1
IP-0067-9_S1_L001-SPAdes,1
GCA_963566625_1,1
IP-0026-5_S6_L001-SPAdes,1
IP-0180-0_S5-SPAdes,2
GCA_963573175_1,2
IP-0115-6_S6_L001-SPAdes,2
GCA_963569785_1,2
IE-0012_S6_L001-SPAdes,2
GCA_963562615_1,2
ERS012362,2
IP-0181-8_S6-SPAdes,2
GCA_963569365_1,2
GCA_963571055_1,2
IP-0159-4_S9_L001-SPAdes,2
IP-0168-5_S3-SPAdes,2
IP-0162-8_S1-SPAdes,2
IE-0014_S8_L001-SPAdes,2
GCA_963563065_1,2
GCA_963566675_1,3
Burkholderia_pseudomallei_619s006_GCF_001212705_2_Malaysia,3
IP-0079-4_S2_L001-SPAdes,3
GCA_963560585_1,3
IP-0090-1_S2_L001-SPAdes,3
IP-0120-6_S11_L001-SPAdes,3
GCA_963565395_1,3
IP-0178-4_S3-SPAdes,3
ERS012340,3
Burkholderia_pseudomallei_1701_GCF_003268105_1_Viet_Nam,3
IP-0161-0_S11_L001-SPAdes,3
IP-0014-1_S5_L001-SPAdes,3
IP-0021-6_S1_L001-SPAdes,3
IP-0082-8_S5_L001-SPAdes,4
ERS012359,4
ERS012351,4
ERS012380,4
ERS012327,4
IP-0174-3_S9-SPAdes,4
IP-0151-1_S1_L001-SPAdes,5
IP-0147-9_S7_L001-SPAdes,5
IP-0197-4_S2-SPAdes,5
IP-0101-6_S1_L001-SPAdes,5
IP-0193-3_S8-SPAdes,5
IP-0166-9_S1-SPAdes,6
GCA_963562235_1,6
Burkholderia_pseudomallei_60W_S74_GCF_014712825_1_Laos,6
GCA_963561895_1,6
GCA_963560945_1,6
ERS008784,7
ERS008821,7
ERS008817,7
ERS008785,7
IP-0088-5_S11_L001-SPAdes,8
IP-0111-5_S2_L001-SPAdes,8
IP-0076-0_S10_L001-SPAdes,8
IP-0063-8_S8_L001-SPAdes,9
IP-0160-2_S10_L001-SPAdes,9
IP-0025-7_S5_L001-SPAdes,9
IP-0100-8_S1_L001-SPAdes,10
IP-0149-5_S9_L001-SPAdes,10
GCA_963573225_1,11
SRR12527885_contigs,11
GCA_963563715_1,12
IP-0017-4_S8_L001-SPAdes,12
IP-0016-6_S7_L001-SPAdes,13
Burkholderia_pseudomallei_64W_S75_GCF_014712815_1_Laos,13
IP-0176-8_S1-SPAdes,14
IP-0134-7_S4_L001-SPAdes,15
IP-0123-0_S3_L001-SPAdes,16
GCA_963571745_1,17
GCA_963566855_1,18
GCA_963561565_1,19
Burkholderia_pseudomallei_BDD_GCF_000756905_1_Australia_Townsville_Queensland,20
Burkholderia_pseudomallei_ABCPW_91_GCF_000774405_1_Australia,21
Burkholderia_pseudomallei_52W_S71_GCF_014712835_1_Laos,22
Burkholderia_pseudomallei_45S_S65_GCF_014713015_1_Laos,23
Burkholderia_pseudomallei_44W_S64_GCF_014713025_1_Laos,24
Burkholderia_pseudomallei_40S_S61_GCF_014713055_1_Laos,25
