Taxon,Cluster_name
GCA_963573095_1,vifdu
IP-0049-7_S9_L001-SPAdes,vifdu
IP-0196-6_S1-SPAdes,vifdu
IP-0190-9_S5-SPAdes,vifdu
GCA_900596305_2,vifdu
IE-0005_S10_L001-SPAdes,vifdu
IP-0123-0_S3_L001-SPAdes,vifdu
IP-0192-5_S7-SPAdes,vifdu
GCA_963566855_1,vifdu
IP-0095-0_S7_L001-SPAdes,vifdu
IP-0116-4_S7_L001-SPAdes,vifdu
Burkholderia_pseudomallei_64W_S75_GCF_014712815_1_Laos,vifdu
Burkholderia_pseudomallei_4802_GCF_003268115_1_Viet_Nam,vifdu
IP-0133-9_S3_L001-SPAdes,vifdu
GCA_963562695_1,vifdu
IP-0114-9_S5_L001-SPAdes,vifdu
IP-0025-7_S5_L001-SPAdes,vifdu
GCA_963563475_1,vifdu
GCA_963568785_1,vifdu
GCA_963571365_1,vifdu
GCA_963566495_1,vifdu
ERS013363,vifdu
IP-0166-9_S1-SPAdes,vifdu
IE-0026_S8-SPAdes,vifdu
Burkholderia_pseudomallei_7400_GCF_025848135_1_Viet_Nam,vifdu
IP-0046-3_S6_L001-SPAdes,vifdu
IE-0017_S11_L001-SPAdes,vifdu
IP-0052-1_S2_L001-SPAdes,vifdu
ERS008797,vifdu
Burkholderia_pseudomallei_51W_S70_GCF_014712915_1_Laos,vifdu
IP-0139-6_S9_L001-SPAdes,vifdu
IP-0086-9_S9_L001-SPAdes,vifdu
Burkholderia_pseudomallei_619s007_GCF_001326935_2_Malaysia,vifdu
IP-0066-1_S11_L001-SPAdes,vifdu
IP-0163-6_S2-SPAdes,vifdu
IP-0029-9_S9_L001-SPAdes,vifdu
ERS008817,vifdu
IP-0076-0_S10_L001-SPAdes,vifdu
GCA_963562615_1,vifdu
IP-0045-5_S5_L001-SPAdes,vifdu
IP-0031-5_S1_L001-SPAdes,vifdu
GCA_963565565_1,vifdu
ERS012354,vifdu
IP-0172-7_S7-SPAdes,vifdu
ERS008813,vifdu
IP-0120-6_S11_L001-SPAdes,vifdu
Burkholderia_pseudomallei_316c_GCF_001980755_1_Thailand,vifdu
GCA_963561975_1,vifdu
ERS013360,vifdu
IP-0072-9_S6_L001-SPAdes,vifdu
Burkholderia_pseudomallei_406e_GCF_000410895_1_Thailand,vifdu
IP-0135-4_S5_L001-SPAdes,vifdu
IP-0027-3_S7_L001-SPAdes,vifdu
IP-0137-0_S7_L001-SPAdes,vifdu
GCA_963563065_1,vifdu
GCA_963561925_1,vifdu
IP-0042-2_S2_L001-SPAdes,vifdu
IP-0157-8_S7_L001-SPAdes,vifdu
ERS012377,vifdu
GCA_963562795_1,vifdu
IP-0084-4_S7_L001-SPAdes,vifdu
IP-0183-4_S8-SPAdes,vifdu
IP-0197-4_S2-SPAdes,vifdu
IE-0010_S4_L001-SPAdes,vifdu
GCA_963565125_1,vifdu
IP-0090-1_S2_L001-SPAdes,vifdu
ERS012306,vifdu
GCA_963571845_1,vifdu
GCA_963561915_1,vifdu
IP-0036-4_S6_L001-SPAdes,vifdu
