Taxon,Cluster
IP-0077-8_S11_L001-SPAdes,1
Burkholderia_pseudomallei_619s008_GCF_001326955_2_Malaysia,1
IP-0099-2_S11_L001-SPAdes,1
ERS012331,1
ERS012347,1
ERS012320,1
IE-0012_S6_L001-SPAdes,1
ERS012351,1
IP-0039-8_S9_L001-SPAdes,1
GCA_963573175_1,1
ERS012363,1
IP-0066-1_S11_L001-SPAdes,2
ERS012338,2
Burkholderia_pseudomallei_1701_GCF_003268105_1_Viet_Nam,2
IP-0177-6_S2-SPAdes,2
IP-0154-5_S4_L001-SPAdes,2
GCA_963570975_1,2
IP-0163-6_S2-SPAdes,2
GCA_963561765_1,2
IP-0062-0_S7_L001-SPAdes,2
IE-0013_S7_L001-SPAdes,2
GCA_963565015_1,3
IP-0004-2_S4_L001-SPAdes,3
IP-0169-3_S4-SPAdes,3
IP-0155-2_S5_L001-SPAdes,3
GCA_963562695_1,3
IP-0128-9_S8_L001-SPAdes,3
ERS008819,4
ERS008837,4
ERS008841,4
ERS008792,4
GCA_963569685_1,5
IP-0188-3_S3-SPAdes,5
IP-0126-3_S6_L001-SPAdes,6
GCA_963566455_1,6
Burkholderia_pseudomallei_577ci_GCF_001980815_1_Thailand,7
Burkholderia_pseudomallei_406e_GCF_000410895_1_Thailand,7
IP-0189-1_S4-SPAdes,8
IP-0176-8_S1-SPAdes,9
IP-0100-8_S1_L001-SPAdes,10
IP-0098-4_S10_L001-SPAdes,11
GCA_963561895_1,12
GCA_963560915_1,13
Burkholderia_pseudomallei_8400_GCF_025847635_1_Viet_Nam,14
Burkholderia_pseudomallei_46W_S66_GCF_014712945_1_Laos,15
