Taxon,Cluster_name
IP-0112-3_S3_L001-SPAdes,gucegpu
IP-0069-5_S3_L001-SPAdes,gucegpu
IE-0004_S9_L001-SPAdes,gucegpu
Burkholderia_pseudomallei_7801_GCF_025848015_1_Viet_Nam_query,gucegpu
IP-0018-2_S9_L001-SPAdes_query,gucegpu
Burkholderia_pseudomallei_8400_GCF_025847635_1_Viet_Nam,gucegpu
ERS012370,gucegpu
Burkholderia_pseudomallei_402a_GCF_001980775_1_Thailand_query,gucegpu
IP-0189-1_S4-SPAdes,gucegpu
IP-0163-6_S2-SPAdes_query,gucegpu
GCA_963560945_1_query,gucegpu
IP-0126-3_S6_L001-SPAdes,gucegpu
Burkholderia_pseudomallei_134_GCF_009830095_1_Thailand,gucegpu
IP-0122-2_S2_L001-SPAdes,gucegpu
IP-0200-6_S5-SPAdes,gucegpu
IP-0202-2_S7-SPAdes,gucegpu
IP-0053-9_S3_L001-SPAdes,gucegpu
GCA_963560585_1_query,gucegpu
ERS012380,gucegpu
IP-0045-5_S5_L001-SPAdes,gucegpu
Burkholderia_pseudomallei_58W_S73_GCF_014712875_1_Laos,gucegpu
Burkholderia_pseudomallei_53W_S72_GCF_014712895_1_Laos_query,gucegpu
GCA_963568705_1,gucegpu
IP-0079-4_S2_L001-SPAdes_query,gucegpu
Burkholderia_pseudomallei_2011756296_GCF_002110985_1_USA_Puerto_Rico,gucegpu
GCA_963570975_1_query,gucegpu
ERS012363_query,gucegpu
IP-0002-6_S2_L001-SPAdes,gucegpu
GCA_963566635_1_query,gucegpu
IP-0012-5_S3_L001-SPAdes,gucegpu
IP-0091-9_S3_L001-SPAdes,gucegpu
GCA_963564375_1_query,gucegpu
IP-0149-5_S9_L001-SPAdes,gucegpu
GCA_963561765_1_query,gucegpu
GCA_963566455_1,gucegpu
ERS012332,gucegpu
GCA_963563525_1_query,gucegpu
GCA_963565395_1,gucegpu
IE-0013_S7_L001-SPAdes_query,gucegpu
IP-0100-8_S1_L001-SPAdes,gucegpu
IP-0199-0_S4-SPAdes,gucegpu
IP-0107-3_S7_L001-SPAdes_query,gucegpu
IP-0073-7_S7_L001-SPAdes_query,gucegpu
ERS012314,gucegpu
IP-0199-0_S4-SPAdes_query,gucegpu
IP-0052-1_S2_L001-SPAdes,gucegpu
Burkholderia_pseudomallei_52W_S71_GCF_014712835_1_Laos,gucegpu
IP-0017-4_S8_L001-SPAdes,gucegpu
IP-0045-5_S5_L001-SPAdes_query,gucegpu
IP-0139-6_S9_L001-SPAdes,gucegpu
GCA_963566675_1,gucegpu
IP-0154-5_S4_L001-SPAdes,gucegpu
GCA_963566175_1,gucegpu
IE-0003_S8_L001-SPAdes_query,gucegpu
Burkholderia_pseudomallei_4822_GCF_009826725_1_Viet_Nam_query,gucegpu
IP-0035-6_S5_L001-SPAdes_query,gucegpu
IP-0080-2_S3_L001-SPAdes,gucegpu
ERS012358,gucegpu
GCA_900598305_2,gucegpu
IP-0150-3_S10_L001-SPAdes,gucegpu
IP-0089-3_S1_L001-SPAdes,gucegpu
IP-0099-2_S11_L001-SPAdes,gucegpu
IP-0156-0_S6_L001-SPAdes,gucegpu
ERS013353,gucegpu
IP-0139-6_S9_L001-SPAdes_query,gucegpu
GCA_963562235_1,gucegpu
GCA_963560945_1,gucegpu
GCA_963573025_1,gucegpu
IP-0120-6_S11_L001-SPAdes,gucegpu
IP-0197-4_S2-SPAdes,gucegpu
IP-0193-3_S8-SPAdes_query,gucegpu
GCA_963570575_1_query,gucegpu
IP-0197-4_S2-SPAdes_query,gucegpu
IP-0130-5_S10_L001-SPAdes_query,gucegpu
GCA_963568785_1,gucegpu
Burkholderia_pseudomallei_ABCPW_1_GCF_000774965_1_Australia,gucegpu
GCA_963572755_1,gucegpu
GCA_900596305_2,gucegpu
ERS013348_query,gucegpu
IE-0019_S5-SPAdes,gucegpu
IP-0191-7_S6-SPAdes_query,gucegpu
IP-0161-0_S11_L001-SPAdes,gucegpu
IP-0184-2_S9-SPAdes_query,gucegpu
IP-0140-4_S10_L001-SPAdes,gucegpu
IP-0027-3_S7_L001-SPAdes,gucegpu
GCA_963562235_1_query,gucegpu
IP-0201-4_S6-SPAdes,gucegpu
Burkholderia_pseudomallei_2002734728_GCF_002111105_1_USA_California_query,gucegpu
GCA_963567935_1,gucegpu
IP-0143-8_S3_L001-SPAdes,gucegpu
ERS012327,gucegpu
IP-0018-2_S9_L001-SPAdes,gucegpu
IP-0011-7_S2_L001-SPAdes,gucegpu
ERS013343,gucegpu
IP-0095-0_S7_L001-SPAdes,gucegpu
IP-0041-4_S1_L001-SPAdes,gucegpu
GCA_963564375_1,gucegpu
IP-0049-7_S9_L001-SPAdes,gucegpu
IP-0062-0_S7_L001-SPAdes,gucegpu
IP-0131-3_S1_L001-SPAdes,gucegpu
ERS012334,gucegpu
IP-0202-2_S7-SPAdes_query,gucegpu
IP-0186-7_S1-SPAdes_query,gucegpu
Burkholderia_pseudomallei_7400_GCF_025848135_1_Viet_Nam,gucegpu
IP-0170-1_S5-SPAdes,gucegpu
GCA_963563475_1,gucegpu
IP-0189-1_S4-SPAdes_query,gucegpu
GCA_963568885_1,gucegpu
Burkholderia_pseudomallei_7400_GCF_025848135_1_Viet_Nam_query,gucegpu
