Taxon,Cluster_name
ERS012331,inowdun
Burkholderia_pseudomallei_619s008_GCF_001326955_2_Malaysia,inowdun
ERS012347,inowdun
GCA_963573175_1,inowdun
ERS012320,inowdun
IE-0012_S6_L001-SPAdes,inowdun
IP-0099-2_S11_L001-SPAdes,inowdun
IP-0077-8_S11_L001-SPAdes,inowdun
IP-0039-8_S9_L001-SPAdes,inowdun
ERS012363,inowdun
ERS012351,inowdun
IP-0163-6_S2-SPAdes,igule
IE-0013_S7_L001-SPAdes,igule
GCA_963561765_1,igule
GCA_963570975_1,igule
Burkholderia_pseudomallei_1701_GCF_003268105_1_Viet_Nam,igule
IP-0066-1_S11_L001-SPAdes,igule
IP-0062-0_S7_L001-SPAdes,igule
IP-0177-6_S2-SPAdes,igule
IP-0154-5_S4_L001-SPAdes,igule
ERS012338,igule
GCA_963565015_1,sekjubbif
IP-0004-2_S4_L001-SPAdes,sekjubbif
IP-0169-3_S4-SPAdes,sekjubbif
GCA_963562695_1,sekjubbif
IP-0128-9_S8_L001-SPAdes,sekjubbif
IP-0155-2_S5_L001-SPAdes,sekjubbif
ERS008819,oa
ERS008837,oa
ERS008841,oa
ERS008792,oa
GCA_963569685_1,miii
IP-0188-3_S3-SPAdes,miii
IP-0126-3_S6_L001-SPAdes,mifu
GCA_963566455_1,mifu
Burkholderia_pseudomallei_577ci_GCF_001980815_1_Thailand,mupzuu
Burkholderia_pseudomallei_406e_GCF_000410895_1_Thailand,mupzuu
IP-0189-1_S4-SPAdes,migse
IP-0176-8_S1-SPAdes,mefe
IP-0100-8_S1_L001-SPAdes,mua
IP-0098-4_S10_L001-SPAdes,rokrafi
GCA_963561895_1,oje
GCA_963560915_1,aji
Burkholderia_pseudomallei_8400_GCF_025847635_1_Viet_Nam,ameg
Burkholderia_pseudomallei_46W_S66_GCF_014712945_1_Laos,hornam
