Taxon,Cluster_name
IP-0175-0_S10-SPAdes,iju
ERS012327,iju
IE-0018_S12_L001-SPAdes,iju
IP-0087-7_S10_L001-SPAdes,iju
GCA_963563065_1,iju
IP-0156-0_S6_L001-SPAdes,iju
IP-0180-0_S5-SPAdes,iju
Burkholderia_pseudomallei_619s004_GCF_001212405_2_Malaysia,iju
IP-0046-3_S6_L001-SPAdes,iju
Burkholderia_pseudomallei_ABCPW_91_GCF_000774405_1_Australia,iju
GCA_963560735_1,iju
Burkholderia_pseudomallei_576_GCF_000182195_1_Thailand,iju
IP-0021-6_S1_L001-SPAdes,iju
IP-0191-7_S6-SPAdes,iju
IP-0142-0_S2_L001-SPAdes,iju
IP-0147-9_S7_L001-SPAdes,iju
ERS013352,iju
Burkholderia_pseudomallei_28P_GCF_025847415_1_Viet_Nam,iju
ERS008798,iju
IP-0189-1_S4-SPAdes,iju
GCA_963562695_1,iju
IP-0003-4_S3_L001-SPAdes,iju
Burkholderia_pseudomallei_60W_S74_GCF_014712825_1_Laos,iju
GCA_963563635_1,iju
IE-0009_S3_L001-SPAdes,iju
ERS012320,iju
IE-0006_S11_L001-SPAdes,iju
IP-0079-4_S2_L001-SPAdes,iju
Burkholderia_pseudomallei_2010007509_GCF_002111145_1_USA_Arizona_ex_Costa_Rica,iju
ERS013353,iju
IP-0177-6_S2-SPAdes,iju
IP-0160-2_S10_L001-SPAdes,iju
GCA_963569685_1,iju
GCA_963570575_1,iju
GCA_963572995_1,iju
IP-0051-3_S1_L001-SPAdes,iju
IP-0061-2_S6_L001-SPAdes,iju
GCA_963561895_1,iju
GCA_963567935_1,iju
ERS012369,iju
IE-0005_S10_L001-SPAdes,iju
ERS012340,iju
IP-0063-8_S8_L001-SPAdes,iju
IP-0062-0_S7_L001-SPAdes,iju
IE-0011_S5_L001-SPAdes,iju
