Taxon,Cluster_name
GCA_900596305_2,bevie
IP-0138-8_S8_L001-SPAdes,bevie
IE-0003_S8_L001-SPAdes,bevie
GCA_963563475_1,bevie
GCA_963566175_1,bevie
Burkholderia_pseudomallei_354a_GCF_000259815_1_Thailand,bevie
GCA_963566695_1,bevie
IP-0026-5_S6_L001-SPAdes,bevie
IP-0057-0_S2_L001-SPAdes,bevie
IP-0169-3_S4-SPAdes,bevie
GCA_963571005_1,bevie
IP-0067-9_S1_L001-SPAdes,bevie
GCA_963570575_1,bevie
IP-0130-5_S10_L001-SPAdes,bevie
GCA_963566625_1,bevie
GCA_963565125_1,bevie
ERS012362,iwi
IP-0180-0_S5-SPAdes,iwi
IP-0181-8_S6-SPAdes,iwi
IP-0159-4_S9_L001-SPAdes,iwi
IE-0012_S6_L001-SPAdes,iwi
IE-0014_S8_L001-SPAdes,iwi
GCA_963569785_1,iwi
GCA_963573175_1,iwi
IP-0168-5_S3-SPAdes,iwi
IP-0162-8_S1-SPAdes,iwi
GCA_963569365_1,iwi
GCA_963571055_1,iwi
GCA_963562615_1,iwi
IP-0115-6_S6_L001-SPAdes,iwi
GCA_963563065_1,iwi
IP-0014-1_S5_L001-SPAdes,luto
IP-0021-6_S1_L001-SPAdes,luto
Burkholderia_pseudomallei_619s006_GCF_001212705_2_Malaysia,luto
GCA_963565395_1,luto
IP-0120-6_S11_L001-SPAdes,luto
GCA_963560585_1,luto
ERS012340,luto
IP-0161-0_S11_L001-SPAdes,luto
IP-0079-4_S2_L001-SPAdes,luto
IP-0178-4_S3-SPAdes,luto
GCA_963566675_1,luto
Burkholderia_pseudomallei_1701_GCF_003268105_1_Viet_Nam,luto
IP-0090-1_S2_L001-SPAdes,luto
IP-0174-3_S9-SPAdes,docruzu
ERS012380,docruzu
ERS012327,docruzu
ERS012351,docruzu
ERS012359,docruzu
IP-0082-8_S5_L001-SPAdes,docruzu
IP-0193-3_S8-SPAdes,edalo
IP-0197-4_S2-SPAdes,edalo
IP-0151-1_S1_L001-SPAdes,edalo
IP-0147-9_S7_L001-SPAdes,edalo
IP-0101-6_S1_L001-SPAdes,edalo
IP-0166-9_S1-SPAdes,oa
GCA_963560945_1,oa
Burkholderia_pseudomallei_60W_S74_GCF_014712825_1_Laos,oa
GCA_963561895_1,oa
GCA_963562235_1,oa
ERS008817,sutve
ERS008785,sutve
ERS008784,sutve
ERS008821,sutve
IP-0111-5_S2_L001-SPAdes,ivugbi
IP-0088-5_S11_L001-SPAdes,ivugbi
IP-0076-0_S10_L001-SPAdes,ivugbi
IP-0063-8_S8_L001-SPAdes,kigtac
IP-0025-7_S5_L001-SPAdes,kigtac
IP-0160-2_S10_L001-SPAdes,kigtac
IP-0100-8_S1_L001-SPAdes,muwu
IP-0149-5_S9_L001-SPAdes,muwu
SRR12527885_contigs,opasen
GCA_963573225_1,opasen
GCA_963563715_1,olo
IP-0017-4_S8_L001-SPAdes,olo
Burkholderia_pseudomallei_64W_S75_GCF_014712815_1_Laos,comvavzak
IP-0016-6_S7_L001-SPAdes,comvavzak
IP-0176-8_S1-SPAdes,dorsadem
IP-0134-7_S4_L001-SPAdes,umau
IP-0123-0_S3_L001-SPAdes,kilwahar
GCA_963571745_1,havomwuk
GCA_963566855_1,pirwol
GCA_963561565_1,bisda
Burkholderia_pseudomallei_BDD_GCF_000756905_1_Australia_Townsville_Queensland,guo
Burkholderia_pseudomallei_ABCPW_91_GCF_000774405_1_Australia,luhe
Burkholderia_pseudomallei_52W_S71_GCF_014712835_1_Laos,rova
Burkholderia_pseudomallei_45S_S65_GCF_014713015_1_Laos,kizfal
Burkholderia_pseudomallei_44W_S64_GCF_014713025_1_Laos,ewat
Burkholderia_pseudomallei_40S_S61_GCF_014713055_1_Laos,muluto
