Taxon,Cluster_name
IP-0043-0_S3_L001-SPAdes,fuai
Burkholderia_pseudomallei_619s006_GCF_001212705_2_Malaysia,fuai
GCA_963566085_1,fuai
IP-0187-5_S2-SPAdes,fuai
ERS012347,fuai
IE-0014_S8_L001-SPAdes,fuai
ERS012317,fuai
IP-0109-9_S9_L001-SPAdes,fuai
GCA_963565675_1,fuai
GCA_963573175_1,fuai
IP-0130-5_S10_L001-SPAdes,fuai
GCA_963566475_1,fuai
IE-0017_S11_L001-SPAdes,fuai
Burkholderia_pseudomallei_43S_S63_GCF_014713085_1_Laos,fuai
ERS013343,fuai
GCA_963568055_1,fuai
IP-0065-3_S10_L001-SPAdes,fuai
Burkholderia_pseudomallei_134K_GCF_009830075_1_Thailand,fuai
ERS012314,fuai
IP-0009-1_S9_L001-SPAdes,fuai
IP-0148-7_S8_L001-SPAdes,fuai
IP-0042-2_S2_L001-SPAdes,fuai
GCA_963561765_1,fuai
GCA_963565085_1,fuai
IP-0096-8_S8_L001-SPAdes,fuai
GCA_963567935_1,fuai
IP-0133-9_S3_L001-SPAdes,fuai
IP-0081-0_S4_L001-SPAdes,fuai
IP-0006-7_S6_L001-SPAdes,fuai
IP-0098-4_S10_L001-SPAdes,fuai
IE-0015_S9_L001-SPAdes,fuai
IP-0032-3_S2_L001-SPAdes,fuai
GCA_963572995_1,fuai
IP-0077-8_S11_L001-SPAdes,fuai
GCA_963568705_1,fuai
IP-0172-7_S7-SPAdes,fuai
ERS008837,fuai
GCA_963571845_1,fuai
GCA_963563155_1,fuai
IP-0200-6_S5-SPAdes,fuai
GCA_963565565_1,fuai
IE-0009_S3_L001-SPAdes,fuai
ERS012308,fuai
GCA_963560915_1,fuai
IP-0078-6_S1_L001-SPAdes,fuai
IP-0117-2_S8_L001-SPAdes,fuai
GCA_963564785_1,fuai
ERS008813,fuai
Burkholderia_pseudomallei_51W_S70_GCF_014712915_1_Laos,fuai
ERS008794,fuai
IP-0165-1_S4-SPAdes,fuai
IP-0178-4_S3-SPAdes,fuai
ERS008790,fuai
IP-0147-9_S7_L001-SPAdes,fuai
GCA_963569645_1,fuai
ERS012351,fuai
IP-0199-0_S4-SPAdes,fuai
IE-0019_S5-SPAdes,fuai
Burkholderia_pseudomallei_58W_S73_GCF_014712875_1_Laos,fuai
IE-0006_S11_L001-SPAdes,fuai
IP-0082-8_S5_L001-SPAdes,fuai
ERS012307,fuai
ERS012306,fuai
IP-0039-8_S9_L001-SPAdes,fuai
IP-0124-8_S4_L001-SPAdes,fuai
GCA_963561735_1,fuai
ERS012330,fuai
IP-0154-5_S4_L001-SPAdes,fuai
IP-0084-4_S7_L001-SPAdes,fuai
IP-0196-6_S1-SPAdes,fuai
IP-0116-4_S7_L001-SPAdes,fuai
ERS012363,fuai
IE-0016_S10_L001-SPAdes,fuai
IP-0052-1_S2_L001-SPAdes,fuai
IP-0122-2_S2_L001-SPAdes,fuai
ERS013355,fuai
IP-0076-0_S10_L001-SPAdes,fuai
GCA_963572755_1,fuai
GCA_963562325_1,fuai
IP-0171-9-R_S12-SPAdes,fuai
ERS012334,fuai
Burkholderia_pseudomallei_4802_GCF_003268115_1_Viet_Nam,fuai
GCA_963567115_1,fuai
GCA_963561975_1,fuai
IP-0166-9_S1-SPAdes,fuai
IE-0026_S8-SPAdes,fuai
GCA_963566495_1,fuai
IP-0137-0_S7_L001-SPAdes,fuai
IP-0023-2_S3_L001-SPAdes,fuai
IP-0087-7_S10_L001-SPAdes,fuai
Burkholderia_pseudomallei_576_GCF_000182195_1_Thailand,fuai
GCA_963571365_1,fuai
IP-0094-3_S6_L001-SPAdes,fuai
Burkholderia_pseudomallei_40S_S61_GCF_014713055_1_Laos,fuai
IP-0128-9_S8_L001-SPAdes,fuai
GCA_963563065_1,fuai
ERS008835,fuai
ERS008833,fuai
ERS008785,fuai
IP-0160-2_S10_L001-SPAdes,fuai
ERS008838,fuai
ERS012338,fuai
IP-0019-0_S10_L001-SPAdes,fuai
ERS012309,fuai
IP-0168-5_S3-SPAdes,fuai
GCA_963561355_1,fuai
GCA_963561925_1,fuai
Burkholderia_pseudomallei_49W_S68_GCF_014712965_1_Laos,fuai
IP-0079-4_S2_L001-SPAdes,fuai
Burkholderia_pseudomallei_44W_S64_GCF_014713025_1_Laos,fuai
IP-0149-5_S9_L001-SPAdes,fuai
IP-0095-0_S7_L001-SPAdes,fuai
IP-0011-7_S2_L001-SPAdes,fuai
ERS013345,fuai
IP-0027-3_S7_L001-SPAdes,fuai
IE-0001_S6_L001-SPAdes,fuai
GCA_963564325_1,fuai
IP-0046-3_S6_L001-SPAdes,fuai
IP-0034-9_S4_L001-SPAdes,fuai
GCA_963563475_1,fuai
GCA_963565395_1,fuai
IP-0155-2_S5_L001-SPAdes,fuai
IP-0033-1_S3_L001-SPAdes,fuai
IP-0177-6_S2-SPAdes,fuai
IP-0153-7_S3_L001-SPAdes,fuai
ERS012313,fuai
GCA_963572615_1,fuai
IP-0045-5_S5_L001-SPAdes,fuai
IP-0012-5_S3_L001-SPAdes,fuai
Burkholderia_pseudomallei_ABCPW_30_GCF_000774495_1_Australia,fuai
IP-0083-6_S6_L001-SPAdes,fuai
IP-0018-2_S9_L001-SPAdes,fuai
IP-0068-7_S2_L001-SPAdes,fuai
GCA_963566765_1,fuai
IP-0135-4_S5_L001-SPAdes,fuai
