Taxon,Cluster
IP-0107-3_S7_L001-SPAdes,1
Burkholderia_pseudomallei_577ci_GCF_001980815_1_Thailand,1
GCA_963573135_1,1
IP-0172-7_S7-SPAdes_query,1
IP-0047-1_S7_L001-SPAdes,1
GCA_963566495_1,1
IP-0130-5_S10_L001-SPAdes,1
ERS012327,1
IP-0091-9_S3_L001-SPAdes,1
GCA_963563305_1,1
IP-0110-7_S10_L001-SPAdes,1
IP-0055-4_S5_L001-SPAdes,1
IP-0087-7_S10_L001-SPAdes,1
GCA_900595585_2,1
IP-0196-6_S1-SPAdes,1
Burkholderia_pseudomallei_40S_S61_GCF_014713055_1_Laos,1
IP-0063-8_S8_L001-SPAdes_query,1
IP-0185-9_S10-SPAdes,1
IP-0037-2_S7_L001-SPAdes,1
IP-0142-0_S2_L001-SPAdes,1
Burkholderia_pseudomallei_51W_S70_GCF_014712915_1_Laos_query,1
IP-0149-5_S9_L001-SPAdes_query,1
GCA_963571845_1,1
ERS012362_query,1
ERS012331_query,1
IP-0056-2_S1_L001-SPAdes,1
GCA_963560675_1,1
IP-0042-2_S2_L001-SPAdes_query,1
IP-0023-2_S3_L001-SPAdes,1
IP-0083-6_S6_L001-SPAdes,1
IP-0097-6_S9_L001-SPAdes,1
ERS012354,1
IP-0108-1_S8_L001-SPAdes,1
Burkholderia_pseudomallei_619s007_GCF_001326935_2_Malaysia_query,1
Burkholderia_pseudomallei_619s007_GCF_001326935_2_Malaysia,1
ERS008794,1
GCA_963563635_1,1
IP-0046-3_S6_L001-SPAdes_query,1
GCA_963563065_1_query,1
IP-0163-6_S2-SPAdes,1
IP-0183-4_S8-SPAdes_query,1
IP-0131-3_S1_L001-SPAdes,1
IP-0057-0_S2_L001-SPAdes,1
IP-0135-4_S5_L001-SPAdes_query,1
GCA_963561925_1_query,1
IP-0133-9_S3_L001-SPAdes,1
ERS008833,1
IP-0120-6_S11_L001-SPAdes_query,1
GCA_963566085_1,1
GCA_963571845_1_query,1
IE-0005_S10_L001-SPAdes_query,1
