Taxon,Cluster_name
IP-0152-9_S2_L001-SPAdes,nuato
Burkholderia_pseudomallei_4802_GCF_003268115_1_Viet_Nam,nuato
IP-0157-8_S7_L001-SPAdes,nuato
IE-0018_S12_L001-SPAdes,nuato
IP-0045-5_S5_L001-SPAdes,nuato
IP-0154-5_S4_L001-SPAdes,nuato
IP-0052-1_S2_L001-SPAdes,nuato
IP-0062-0_S7_L001-SPAdes,nuato
IP-0179-2_S4-SPAdes,nuato
GCA_963568005_1,noce
IP-0064-6_S9_L001-SPAdes,noce
IP-0146-1_S6_L001-SPAdes,noce
IE-0011_S5_L001-SPAdes,noce
IP-0004-2_S4_L001-SPAdes,noce
IP-0155-2_S5_L001-SPAdes,noce
GCA_963561735_1,noce
IP-0024-0_S4_L001-SPAdes,noce
GCA_963571365_1,detvi
ERS012331,detvi
IP-0097-6_S9_L001-SPAdes,detvi
IP-0039-8_S9_L001-SPAdes,detvi
IP-0077-8_S11_L001-SPAdes,detvi
IE-0012_S6_L001-SPAdes,detvi
ERS012327,pirher
ERS012324,pirher
ERS012317,pirher
ERS012308,pirher
ERS008825,zie
ERS008824,zie
ERS008822,zie
IP-0149-5_S9_L001-SPAdes,azivuh
IP-0100-8_S1_L001-SPAdes,azivuh
IP-0025-7_S5_L001-SPAdes,oveu
IP-0028-1_S8_L001-SPAdes,oveu
IP-0013-3_S4_L001-SPAdes,jazwewtek
IP-0032-3_S2_L001-SPAdes,jazwewtek
GCA_963566455_1,ua
Burkholderia_pseudomallei_64W_S75_GCF_014712815_1_Laos,ua
IP-0017-4_S8_L001-SPAdes,ciazu
IE-0021_S7-SPAdes,najoo
IE-0009_S3_L001-SPAdes,teehe
GCA_963568055_1,jeju
GCA_963561895_1,zupa
GCA_963561565_1,ehahhig
Burkholderia_pseudomallei_46W_S66_GCF_014712945_1_Laos,havru
