Taxon,Cluster_name
IP-0082-8_S5_L001-SPAdes,tibiclu
IP-0140-4_S10_L001-SPAdes,tibiclu
Burkholderia_pseudomallei_4802_GCF_003268115_1_Viet_Nam,tibiclu
GCA_963563155_1,tibiclu
GCA_963568885_1,tibiclu
IP-0110-7_S10_L001-SPAdes,tibiclu
IP-0008-3_S8_L001-SPAdes,tibiclu
GCA_963560915_1,tibiclu
IP-0078-6_S1_L001-SPAdes,tibiclu
GCA_963570025_1,tibiclu
IP-0161-0_S11_L001-SPAdes,tibiclu
Burkholderia_pseudomallei_4702_GCF_009827035_1_Viet_Nam,tibiclu
GCA_963562695_1,tibiclu
IP-0144-6_S4_L001-SPAdes,tibiclu
GCA_963573095_1,tibiclu
IP-0071-1_S5_L001-SPAdes,tibiclu
IP-0174-3_S9-SPAdes,tibiclu
ERS012347,tibiclu
IP-0151-1_S1_L001-SPAdes,tibiclu
GCA_963563305_1,tibiclu
ERS008798,tibiclu
GCA_963572615_1,tibiclu
IP-0102-4_S2_L001-SPAdes,tibiclu
IP-0070-3_S4_L001-SPAdes,tibiclu
IP-0083-6_S6_L001-SPAdes,tibiclu
IP-0117-2_S8_L001-SPAdes,tibiclu
GCA_963569785_1,tibiclu
Burkholderia_pseudomallei_7801_GCF_025848015_1_Viet_Nam,tibiclu
IP-0059-6_S4_L001-SPAdes,tibiclu
IP-0014-1_S5_L001-SPAdes,tibiclu
ERS013364,tibiclu
Burkholderia_pseudomallei_40S_S61_GCF_014713055_1_Laos,tibiclu
ERS008822,tibiclu
GCA_963569795_1,tibiclu
IP-0068-7_S2_L001-SPAdes,tibiclu
IP-0097-6_S9_L001-SPAdes,tibiclu
IP-0079-4_S2_L001-SPAdes,tibiclu
IP-0183-4_S8-SPAdes,tibiclu
Burkholderia_pseudomallei_50W_S69_GCF_014712935_1_Laos,tibiclu
ERS012370,tibiclu
IP-0089-3_S1_L001-SPAdes,tibiclu
ERS012303,tibiclu
ERS012308,tibiclu
IP-0015-8_S6_L001-SPAdes,tibiclu
IP-0049-7_S9_L001-SPAdes,tibiclu
ERS008821,tibiclu
Burkholderia_pseudomallei_44W_S64_GCF_014713025_1_Laos,tibiclu
IE-0006_S11_L001-SPAdes,tibiclu
IP-0120-6_S11_L001-SPAdes,tibiclu
ERS008833,tibiclu
GCA_963571475_1,tibiclu
ERS013342,tibiclu
IP-0025-7_S5_L001-SPAdes,tibiclu
IP-0159-4_S9_L001-SPAdes,tibiclu
IP-0172-7_S7-SPAdes,tibiclu
IE-0016_S10_L001-SPAdes,tibiclu
ERS013353,tibiclu
IE-0022_S8-SPAdes,tibiclu
IP-0080-2_S3_L001-SPAdes,tibiclu
IP-0028-1_S8_L001-SPAdes,tibiclu
IP-0099-2_S11_L001-SPAdes,tibiclu
IP-0142-0_S2_L001-SPAdes,tibiclu
Burkholderia_pseudomallei_49W_S68_GCF_014712965_1_Laos,tibiclu
IP-0076-0_S10_L001-SPAdes,tibiclu
ERS012369,tibiclu
Burkholderia_pseudomallei_BDD_GCF_000756905_1_Australia_Townsville_Queensland,zujimwam
Burkholderia_pseudomallei_ABCPW_91_GCF_000774405_1_Australia,busahis
Burkholderia_pseudomallei_ABCPW_30_GCF_000774495_1_Australia,emor
Burkholderia_pseudomallei_ABCPW_1_GCF_000774965_1_Australia,zolorpud
Burkholderia_pseudomallei_ABCPW_107_GCF_000773235_1_Australia,ofa
Burkholderia_pseudomallei_2002721684_GCF_002110925_1_USA_Texas,kezewnil
