Taxon,Cluster_name
GCA_963561355_1,itim
IP-0199-0_S4-SPAdes,itim
IP-0109-9_S9_L001-SPAdes,itim
ERS008835,itim
GCA_963572995_1,itim
IP-0078-6_S1_L001-SPAdes,itim
ERS012307,itim
IP-0178-4_S3-SPAdes,itim
ERS008790,itim
GCA_963565085_1,itim
GCA_963563065_1,itim
GCA_963564785_1,itim
IP-0124-8_S4_L001-SPAdes,itim
IP-0177-6_S2-SPAdes,itim
IP-0081-0_S4_L001-SPAdes,itim
IP-0116-4_S7_L001-SPAdes,itim
Burkholderia_pseudomallei_134K_GCF_009830075_1_Thailand,itim
Burkholderia_pseudomallei_44W_S64_GCF_014713025_1_Laos,itim
IP-0172-7_S7-SPAdes,itim
IP-0009-1_S9_L001-SPAdes,itim
IE-0026_S8-SPAdes,itim
GCA_963566085_1,itim
IP-0153-7_S3_L001-SPAdes,itim
IP-0095-0_S7_L001-SPAdes,itim
ERS012309,itim
GCA_963563155_1,itim
IP-0012-5_S3_L001-SPAdes,itim
IP-0082-8_S5_L001-SPAdes,itim
IP-0096-8_S8_L001-SPAdes,itim
IP-0166-9_S1-SPAdes,itim
ERS008833,itim
IE-0019_S5-SPAdes,itim
IE-0006_S11_L001-SPAdes,itim
IP-0034-9_S4_L001-SPAdes,itim
IP-0032-3_S2_L001-SPAdes,itim
GCA_963562325_1,itim
ERS012308,itim
GCA_963564325_1,itim
ERS012317,itim
IP-0018-2_S9_L001-SPAdes,itim
Burkholderia_pseudomallei_619s006_GCF_001212705_2_Malaysia,itim
IP-0045-5_S5_L001-SPAdes,itim
IP-0137-0_S7_L001-SPAdes,itim
Burkholderia_pseudomallei_4802_GCF_003268115_1_Viet_Nam,itim
IP-0052-1_S2_L001-SPAdes,itim
Burkholderia_pseudomallei_ABCPW_30_GCF_000774495_1_Australia,itim
Burkholderia_pseudomallei_576_GCF_000182195_1_Thailand,itim
IP-0023-2_S3_L001-SPAdes,itim
IP-0087-7_S10_L001-SPAdes,itim
Burkholderia_pseudomallei_40S_S61_GCF_014713055_1_Laos,itim
IP-0068-7_S2_L001-SPAdes,itim
IP-0133-9_S3_L001-SPAdes,itim
GCA_963572755_1,itim
ERS012330,itim
GCA_963560915_1,itim
IP-0027-3_S7_L001-SPAdes,itim
IP-0098-4_S10_L001-SPAdes,itim
Burkholderia_pseudomallei_49W_S68_GCF_014712965_1_Laos,itim
ERS012306,itim
GCA_963568705_1,itim
ERS012334,itim
IP-0043-0_S3_L001-SPAdes,itim
GCA_963566765_1,itim
Burkholderia_pseudomallei_58W_S73_GCF_014712875_1_Laos,itim
IP-0149-5_S9_L001-SPAdes,itim
ERS012363,itim
IP-0160-2_S10_L001-SPAdes,itim
ERS008838,itim
ERS013343,itim
IP-0077-8_S11_L001-SPAdes,itim
GCA_963561975_1,itim
IP-0065-3_S10_L001-SPAdes,itim
IP-0033-1_S3_L001-SPAdes,itim
GCA_963573175_1,itim
ERS012351,itim
GCA_963572615_1,itim
GCA_963563475_1,itim
IP-0011-7_S2_L001-SPAdes,itim
IP-0039-8_S9_L001-SPAdes,itim
IP-0046-3_S6_L001-SPAdes,itim
IE-0001_S6_L001-SPAdes,itim
IP-0076-0_S10_L001-SPAdes,itim
IP-0171-9-R_S12-SPAdes,itim
Burkholderia_pseudomallei_43S_S63_GCF_014713085_1_Laos,itim
GCA_963566475_1,itim
IP-0148-7_S8_L001-SPAdes,itim
ERS008785,itim
GCA_963561735_1,itim
IE-0015_S9_L001-SPAdes,itim
ERS013345,itim
GCA_963565395_1,itim
GCA_963567115_1,itim
IP-0117-2_S8_L001-SPAdes,itim
GCA_963566495_1,itim
GCA_963568055_1,itim
ERS008813,itim
IP-0122-2_S2_L001-SPAdes,itim
IP-0165-1_S4-SPAdes,itim
IE-0014_S8_L001-SPAdes,itim
IP-0130-5_S10_L001-SPAdes,itim
IE-0009_S3_L001-SPAdes,itim
IP-0154-5_S4_L001-SPAdes,itim
ERS012347,itim
GCA_963571365_1,itim
IP-0168-5_S3-SPAdes,itim
IP-0128-9_S8_L001-SPAdes,itim
IP-0187-5_S2-SPAdes,itim
ERS012313,itim
GCA_963571845_1,itim
Burkholderia_pseudomallei_51W_S70_GCF_014712915_1_Laos,itim
IP-0019-0_S10_L001-SPAdes,itim
IP-0155-2_S5_L001-SPAdes,itim
IP-0083-6_S6_L001-SPAdes,itim
IP-0135-4_S5_L001-SPAdes,itim
GCA_963565675_1,itim
ERS008837,itim
IP-0147-9_S7_L001-SPAdes,itim
IP-0094-3_S6_L001-SPAdes,itim
IE-0017_S11_L001-SPAdes,itim
IE-0016_S10_L001-SPAdes,itim
IP-0200-6_S5-SPAdes,itim
IP-0196-6_S1-SPAdes,itim
ERS013355,itim
IP-0042-2_S2_L001-SPAdes,itim
ERS008794,itim
IP-0079-4_S2_L001-SPAdes,itim
ERS012314,itim
ERS012338,itim
GCA_963561925_1,itim
GCA_963565565_1,itim
GCA_963567935_1,itim
GCA_963569645_1,itim
IP-0084-4_S7_L001-SPAdes,itim
GCA_963561765_1,itim
IP-0006-7_S6_L001-SPAdes,itim
