Taxon,Cluster_name
GCA_963563475_1,ojilal
GCA_963566175_1,ojilal
IP-0057-0_S2_L001-SPAdes,ojilal
IP-0026-5_S6_L001-SPAdes,ojilal
GCA_963570575_1,ojilal
IP-0067-9_S1_L001-SPAdes,ojilal
Burkholderia_pseudomallei_354a_GCF_000259815_1_Thailand,ojilal
GCA_963566695_1,ojilal
IE-0003_S8_L001-SPAdes,ojilal
IP-0138-8_S8_L001-SPAdes,ojilal
IP-0169-3_S4-SPAdes,ojilal
IP-0130-5_S10_L001-SPAdes,ojilal
GCA_963571005_1,ojilal
GCA_963566625_1,ojilal
GCA_963565125_1,ojilal
GCA_900596305_2,ojilal
GCA_963563065_1,hiluko
IP-0180-0_S5-SPAdes,hiluko
ERS012362,hiluko
IP-0162-8_S1-SPAdes,hiluko
GCA_963573175_1,hiluko
IP-0181-8_S6-SPAdes,hiluko
IP-0115-6_S6_L001-SPAdes,hiluko
IP-0168-5_S3-SPAdes,hiluko
GCA_963569365_1,hiluko
GCA_963562615_1,hiluko
IP-0159-4_S9_L001-SPAdes,hiluko
GCA_963571055_1,hiluko
IE-0012_S6_L001-SPAdes,hiluko
GCA_963569785_1,hiluko
IE-0014_S8_L001-SPAdes,hiluko
Burkholderia_pseudomallei_619s006_GCF_001212705_2_Malaysia,aavaf
IP-0178-4_S3-SPAdes,aavaf
GCA_963560585_1,aavaf
IP-0161-0_S11_L001-SPAdes,aavaf
IP-0014-1_S5_L001-SPAdes,aavaf
IP-0090-1_S2_L001-SPAdes,aavaf
IP-0021-6_S1_L001-SPAdes,aavaf
IP-0079-4_S2_L001-SPAdes,aavaf
GCA_963566675_1,aavaf
Burkholderia_pseudomallei_1701_GCF_003268105_1_Viet_Nam,aavaf
GCA_963565395_1,aavaf
ERS012340,aavaf
IP-0120-6_S11_L001-SPAdes,aavaf
IP-0174-3_S9-SPAdes,uzuw
ERS012380,uzuw
IP-0082-8_S5_L001-SPAdes,uzuw
ERS012327,uzuw
ERS012351,uzuw
ERS012359,uzuw
IP-0151-1_S1_L001-SPAdes,didolde
IP-0101-6_S1_L001-SPAdes,didolde
IP-0193-3_S8-SPAdes,didolde
IP-0147-9_S7_L001-SPAdes,didolde
IP-0197-4_S2-SPAdes,didolde
GCA_963561895_1,linago
GCA_963562235_1,linago
Burkholderia_pseudomallei_60W_S74_GCF_014712825_1_Laos,linago
IP-0166-9_S1-SPAdes,linago
GCA_963560945_1,linago
ERS008817,corcuma
ERS008821,corcuma
ERS008785,corcuma
ERS008784,corcuma
IP-0076-0_S10_L001-SPAdes,guzofa
IP-0111-5_S2_L001-SPAdes,guzofa
IP-0088-5_S11_L001-SPAdes,guzofa
IP-0160-2_S10_L001-SPAdes,bioo
IP-0025-7_S5_L001-SPAdes,bioo
IP-0063-8_S8_L001-SPAdes,bioo
IP-0100-8_S1_L001-SPAdes,lilgerob
IP-0149-5_S9_L001-SPAdes,lilgerob
SRR12527885_contigs,minef
GCA_963573225_1,minef
GCA_963563715_1,fobfagmi
IP-0017-4_S8_L001-SPAdes,fobfagmi
IP-0016-6_S7_L001-SPAdes,eubep
Burkholderia_pseudomallei_64W_S75_GCF_014712815_1_Laos,eubep
IP-0176-8_S1-SPAdes,dini
IP-0134-7_S4_L001-SPAdes,rijse
IP-0123-0_S3_L001-SPAdes,nehbud
GCA_963571745_1,fusafmu
GCA_963566855_1,iehe
GCA_963561565_1,hembipmoh
Burkholderia_pseudomallei_BDD_GCF_000756905_1_Australia_Townsville_Queensland,mutca
Burkholderia_pseudomallei_ABCPW_91_GCF_000774405_1_Australia,vacmu
Burkholderia_pseudomallei_52W_S71_GCF_014712835_1_Laos,wusrama
Burkholderia_pseudomallei_45S_S65_GCF_014713015_1_Laos,zipi
Burkholderia_pseudomallei_44W_S64_GCF_014713025_1_Laos,widparwod
Burkholderia_pseudomallei_40S_S61_GCF_014713055_1_Laos,oea
