Taxon,Cluster_name
GCA_963561855_1,sizihud
ERS008836,sizihud
IP-0051-3_S1_L001-SPAdes,sizihud
IP-0039-8_S9_L001-SPAdes,sizihud
IP-0188-3_S3-SPAdes,sizihud
GCA_963569325_1,sizihud
GCA_963561915_1,sizihud
IP-0119-8_S10_L001-SPAdes,sizihud
GCA_963571975_1,sizihud
IP-0180-0_S5-SPAdes,sizihud
GCA_963565395_1,sizihud
GCA_963569645_1,sizihud
Burkholderia_pseudomallei_402a_GCF_001980775_1_Thailand,sizihud
GCA_963562695_1,sizihud
ERS013348,sizihud
ERS013353,sizihud
IP-0035-6_S5_L001-SPAdes,sizihud
IP-0063-8_S8_L001-SPAdes,sizihud
ERS012370,sizihud
IP-0190-9_S5-SPAdes,sizihud
IP-0179-2_S4-SPAdes,sizihud
IP-0127-1_S7_L001-SPAdes,sizihud
IP-0170-1_S5-SPAdes,sizihud
IP-0015-8_S6_L001-SPAdes,sizihud
ERS012328,sizihud
ERS012351,sizihud
IP-0125-5_S5_L001-SPAdes,sizihud
IP-0072-9_S6_L001-SPAdes,sizihud
IP-0038-0_S8_L001-SPAdes,sizihud
ERS012347,sizihud
IP-0169-3_S4-SPAdes,sizihud
IP-0199-0_S4-SPAdes,sizihud
IP-0174-3_S9-SPAdes,sizihud
ERS012354,sizihud
IP-0071-1_S5_L001-SPAdes,sizihud
GCA_963566495_1,sizihud
GCA_963569795_1,sizihud
IP-0080-2_S3_L001-SPAdes,sizihud
Burkholderia_pseudomallei_2010007509_GCF_002111145_1_USA_Arizona_ex_Costa_Rica,sizihud
ERS008797,sizihud
ERS012365,sizihud
IP-0184-2_S9-SPAdes,sizihud
IP-0152-9_S2_L001-SPAdes,sizihud
IP-0067-9_S1_L001-SPAdes,sizihud
IP-0128-9_S8_L001-SPAdes,sizihud
IP-0079-4_S2_L001-SPAdes,sizihud
Burkholderia_pseudomallei_406e_GCF_000410895_1_Thailand,sizihud
GCA_963572995_1,sizihud
IE-0013_S7_L001-SPAdes,sizihud
ERS012327,sizihud
IP-0150-3_S10_L001-SPAdes,sizihud
GCA_963569785_1,sizihud
ERS013354,sizihud
Burkholderia_pseudomallei_2011756296_GCF_002110985_1_USA_Puerto_Rico,sizihud
ERS008829,sizihud
IP-0004-2_S4_L001-SPAdes,sizihud
GCA_963561975_1,sizihud
Burkholderia_pseudomallei_354a_GCF_000259815_1_Thailand,sizihud
GCA_963564785_1,sizihud
IP-0057-0_S2_L001-SPAdes,sizihud
IP-0025-7_S5_L001-SPAdes,sizihud
GCA_900598305_2,sizihud
Burkholderia_pseudomallei_577ci_GCF_001980815_1_Thailand,sizihud
IP-0086-9_S9_L001-SPAdes,sizihud
ERS012313,sizihud
IE-0003_S8_L001-SPAdes,sizihud
IP-0102-4_S2_L001-SPAdes,sizihud
IP-0167-7_S2-SPAdes,sizihud
ERS008803,sizihud
ERS008804,sizihud
IP-0104-0_S4_L001-SPAdes,sizihud
GCA_963568705_1,sizihud
ERS008837,sizihud
Burkholderia_pseudomallei_64W_S75_GCF_014712815_1_Laos,sizihud
IP-0155-2_S5_L001-SPAdes,sizihud
IP-0177-6_S2-SPAdes,sizihud
Burkholderia_pseudomallei_4811_GCF_003268075_1_Viet_Nam,sizihud
GCA_963560735_1,sizihud
GCA_963571365_1,sizihud
ERS012312,sizihud
GCA_963571005_1,sizihud
ERS008795,sizihud
ERS008820,sizihud
GCA_963563065_1,sizihud
GCA_963563475_1,sizihud
ERS012377,sizihud
GCA_963566635_1,sizihud
GCA_963572755_1,sizihud
IP-0193-3_S8-SPAdes,sizihud
GCA_963571475_1,sizihud
GCA_963561075_1,sizihud
Burkholderia_pseudomallei_50W_S69_GCF_014712935_1_Laos,sizihud
GCA_963566175_1,sizihud
GCA_963567935_1,sizihud
ERS012338,sizihud
IP-0073-7_S7_L001-SPAdes,sizihud
IP-0129-7_S9_L001-SPAdes,sizihud
ERS012356,sizihud
IP-0135-4_S5_L001-SPAdes,sizihud
IP-0141-2_S1_L001-SPAdes,sizihud
GCA_963570975_1,sizihud
IP-0001-8_S1_L001-SPAdes,sizihud
GCA_963566475_1,sizihud
IP-0138-8_S8_L001-SPAdes,sizihud
IP-0043-0_S3_L001-SPAdes,sizihud
IP-0052-1_S2_L001-SPAdes,sizihud
IE-0012_S6_L001-SPAdes,sizihud
IP-0047-1_S7_L001-SPAdes,sizihud
ERS013345,sizihud
ERS008833,sizihud
ERS008819,sizihud
