Taxon,Cluster_name
IP-0045-5_S5_L001-SPAdes,goljilful
IE-0018_S12_L001-SPAdes,goljilful
IP-0062-0_S7_L001-SPAdes,goljilful
IP-0154-5_S4_L001-SPAdes,goljilful
Burkholderia_pseudomallei_4802_GCF_003268115_1_Viet_Nam,goljilful
IP-0179-2_S4-SPAdes,goljilful
IP-0052-1_S2_L001-SPAdes,goljilful
IP-0152-9_S2_L001-SPAdes,goljilful
IP-0157-8_S7_L001-SPAdes,goljilful
IP-0146-1_S6_L001-SPAdes,zodowi
IP-0064-6_S9_L001-SPAdes,zodowi
IP-0004-2_S4_L001-SPAdes,zodowi
IP-0155-2_S5_L001-SPAdes,zodowi
GCA_963568005_1,zodowi
IE-0011_S5_L001-SPAdes,zodowi
IP-0024-0_S4_L001-SPAdes,zodowi
GCA_963561735_1,zodowi
IP-0077-8_S11_L001-SPAdes,mipuztu
GCA_963571365_1,mipuztu
ERS012331,mipuztu
IE-0012_S6_L001-SPAdes,mipuztu
IP-0039-8_S9_L001-SPAdes,mipuztu
IP-0097-6_S9_L001-SPAdes,mipuztu
ERS012327,vizo
ERS012317,vizo
ERS012308,vizo
ERS012324,vizo
ERS008824,eutef
ERS008825,eutef
ERS008822,eutef
IP-0149-5_S9_L001-SPAdes,uau
IP-0100-8_S1_L001-SPAdes,uau
IP-0028-1_S8_L001-SPAdes,reo
IP-0025-7_S5_L001-SPAdes,reo
IP-0032-3_S2_L001-SPAdes,gufui
IP-0013-3_S4_L001-SPAdes,gufui
Burkholderia_pseudomallei_64W_S75_GCF_014712815_1_Laos,zohufnat
GCA_963566455_1,zohufnat
IP-0017-4_S8_L001-SPAdes,irie
IE-0021_S7-SPAdes,ribje
IE-0009_S3_L001-SPAdes,unuji
GCA_963568055_1,pebutaz
GCA_963561895_1,todki
GCA_963561565_1,casva
Burkholderia_pseudomallei_46W_S66_GCF_014712945_1_Laos,cedduh
