Taxon,Cluster
IP-0082-8_S5_L001-SPAdes,1
IP-0140-4_S10_L001-SPAdes,1
Burkholderia_pseudomallei_4802_GCF_003268115_1_Viet_Nam,1
GCA_963563155_1,1
GCA_963568885_1,1
IP-0110-7_S10_L001-SPAdes,1
IP-0008-3_S8_L001-SPAdes,1
GCA_963560915_1,1
IP-0078-6_S1_L001-SPAdes,1
GCA_963570025_1,1
IP-0161-0_S11_L001-SPAdes,1
Burkholderia_pseudomallei_4702_GCF_009827035_1_Viet_Nam,1
GCA_963562695_1,1
IP-0144-6_S4_L001-SPAdes,1
GCA_963573095_1,1
IP-0071-1_S5_L001-SPAdes,1
IP-0174-3_S9-SPAdes,1
ERS012347,1
IP-0151-1_S1_L001-SPAdes,1
GCA_963563305_1,1
ERS008798,1
GCA_963572615_1,1
IP-0102-4_S2_L001-SPAdes,1
IP-0070-3_S4_L001-SPAdes,1
IP-0083-6_S6_L001-SPAdes,1
IP-0117-2_S8_L001-SPAdes,1
GCA_963569785_1,1
Burkholderia_pseudomallei_7801_GCF_025848015_1_Viet_Nam,1
IP-0059-6_S4_L001-SPAdes,1
IP-0014-1_S5_L001-SPAdes,1
ERS013364,1
Burkholderia_pseudomallei_40S_S61_GCF_014713055_1_Laos,1
ERS008822,1
GCA_963569795_1,1
IP-0068-7_S2_L001-SPAdes,1
IP-0097-6_S9_L001-SPAdes,1
IP-0079-4_S2_L001-SPAdes,1
IP-0183-4_S8-SPAdes,1
Burkholderia_pseudomallei_50W_S69_GCF_014712935_1_Laos,1
ERS012370,1
IP-0089-3_S1_L001-SPAdes,1
ERS012303,1
ERS012308,1
IP-0015-8_S6_L001-SPAdes,1
IP-0049-7_S9_L001-SPAdes,1
ERS008821,1
Burkholderia_pseudomallei_44W_S64_GCF_014713025_1_Laos,1
IE-0006_S11_L001-SPAdes,1
IP-0120-6_S11_L001-SPAdes,1
ERS008833,1
GCA_963571475_1,1
ERS013342,1
IP-0025-7_S5_L001-SPAdes,1
IP-0159-4_S9_L001-SPAdes,1
IP-0172-7_S7-SPAdes,1
IE-0016_S10_L001-SPAdes,1
ERS013353,1
IE-0022_S8-SPAdes,1
IP-0080-2_S3_L001-SPAdes,1
IP-0028-1_S8_L001-SPAdes,1
IP-0099-2_S11_L001-SPAdes,1
IP-0142-0_S2_L001-SPAdes,1
Burkholderia_pseudomallei_49W_S68_GCF_014712965_1_Laos,1
IP-0076-0_S10_L001-SPAdes,1
ERS012369,1
Burkholderia_pseudomallei_BDD_GCF_000756905_1_Australia_Townsville_Queensland,2
Burkholderia_pseudomallei_ABCPW_91_GCF_000774405_1_Australia,3
Burkholderia_pseudomallei_ABCPW_30_GCF_000774495_1_Australia,4
Burkholderia_pseudomallei_ABCPW_1_GCF_000774965_1_Australia,5
Burkholderia_pseudomallei_ABCPW_107_GCF_000773235_1_Australia,6
Burkholderia_pseudomallei_2002721684_GCF_002110925_1_USA_Texas,7
